order_id,customer_id,order_date,order_status,order_channel,shipping_city,shipping_state,shipping_fee,order_subtotal,order_total
700033,102417,2025-05-27 18:16:33,Returned,Mobile App,Hyderabad,Telangana,0.0,1389.54,1389.54
700034,100476,2024-10-13 21:28:25,Returned,Website,Chennai,Tamil Nadu,29.71,440.02,469.73
700035,102083,2025-01-01 16:36:14,Delivered,Website,Bengaluru,Karnataka,0.0,72111.98,72111.98
700036,100744,2024-02-12 23:01:50,Delivered,Mobile App,Pune,Maharashtra,0.0,12873.23,12873.23
700037,100630,2023-10-23 16:38:21,Delivered,Website,Bengaluru,Karnataka,0.0,83711.37,83711.37
700038,101764,2024-11-05 18:31:03,Cancelled,Mobile App,Lucknow,Uttar Pradesh,0.0,926.36,926.36
700039,102877,2024-08-13 20:46:39,Delivered,Mobile Web,Coimbatore,Tamil Nadu,0.0,1389.54,1389.54
700040,101819,2024-06-09 19:58:52,Cancelled,Mobile App,Ahmedabad,Gujarat,0.0,207194.71,207194.71
700041,102907,2025-03-21 19:26:28,Cancelled,Mobile App,Pune,Maharashtra,0.0,14012.38,14012.38
700042,102907,2025-04-12 18:11:48,Cancelled,Mobile App,Kolkata,West Bengal,0.0,17162.81,17162.81
700043,100225,2023-03-22 15:49:33,Cancelled,Mobile App,Chandigarh,Chandigarh,0.0,39496.97,39496.97
700044,101380,2024-04-06 20:22:54,Delivered,Mobile App,Bengaluru,Karnataka,0.0,5476.63,5476.63
700045,101030,2024-07-10 15:03:09,Shipped,Website,Patna,Bihar,0.0,2315.9,2315.9
700046,101596,2023-06-12 17:19:23,Delivered,Website,Delhi,Delhi,0.0,151014.85,151014.85
700047,100692,2023-11-17 18:11:50,Delivered,Website,Pune,Maharashtra,0.0,140589.46,140589.46
700048,101683,2023-04-02 16:30:23,Processing,Mobile App,Patna,Bihar,0.0,3768.04,3768.04
700049,100045,2025-12-29 22:29:11,Delivered,Mobile App,Guwahati,Assam,0.0,40234.47,40234.47
700050,102017,2025-05-29 12:21:18,Cancelled,Website,Coimbatore,Tamil Nadu,0.0,208331.59,208331.59
700051,100667,2023-05-28 20:16:12,Delivered,Mobile Web,Bengaluru,Karnataka,0.0,228955.17,228955.17
700052,100372,2023-02-02 18:41:19,Shipped,Mobile Web,Pune,Maharashtra,0.0,75437.94,75437.94
700053,102868,2025-05-13 16:14:58,Returned,Mobile App,Bengaluru,Karnataka,0.0,6496.34,6496.34
700054,101755,2024-08-12 19:54:10,Delivered,Mobile Web,Coimbatore,Tamil Nadu,0.0,46541.64,46541.64
700055,102083,2025-07-26 20:41:06,Cancelled,Website,Surat,Gujarat,0.0,140264.39,140264.39
700056,100981,2025-11-03 23:37:07,Delivered,Mobile App,Nagpur,Maharashtra,0.0,5982.22,5982.22
700057,102016,2024-12-28 12:50:21,Delivered,Website,Bengaluru,Karnataka,0.0,2527.93,2527.93
700058,100854,2023-10-15 21:10:32,Shipped,Website,Hyderabad,Telangana,0.0,101134.13,101134.13
700059,101868,2025-07-21 22:09:43,Delivered,Website,Guwahati,Assam,0.0,119417.27,119417.27
700060,101744,2025-11-23 23:03:46,Delivered,Mobile Web,Kochi,Kerala,0.0,50234.05,50234.05
700061,100762,2024-12-11 20:09:10,Delivered,Website,Hyderabad,Telangana,0.0,150148.57,150148.57
700062,100725,2025-04-01 17:36:57,Delivered,Website,Bengaluru,Karnataka,0.0,187878.76,187878.76
700063,102807,2024-04-04 16:43:29,Delivered,Mobile App,Indore,Madhya Pradesh,0.0,113446.4,113446.4
700064,102034,2024-05-29 16:01:22,Delivered,Mobile App,Ahmedabad,Gujarat,0.0,7058.57,7058.57
700065,101861,2025-05-27 23:31:00,Delivered,Mobile App,Nagpur,Maharashtra,0.0,53361.17,53361.17
700066,102997,2025-11-05 19:22:54,Delivered,Mobile App,Guwahati,Assam,0.0,926.36,926.36
700067,102104,2025-01-27 16:05:23,Cancelled,Mobile App,Kolkata,West Bengal,0.0,202124.39,202124.39
700068,102910,2025-07-30 23:03:00,Delivered,Mobile App,Chennai,Tamil Nadu,0.0,1237.74,1237.74
700069,102349,2023-10-04 18:24:47,Delivered,Mobile Web,Kochi,Kerala,0.0,9920.95,9920.95
700070,102138,2023-10-31 16:39:02,Delivered,Mobile App,Kolkata,West Bengal,0.0,5982.22,5982.22
700071,101118,2024-10-31 23:22:56,Returned,Website,Delhi,Delhi,0.0,3670.64,3670.64
700072,101346,2023-10-07 15:25:28,Delivered,Website,Faridabad,Haryana,0.0,2563.29,2563.29
700073,102505,2025-02-02 13:03:17,Delivered,Mobile App,Mumbai,Maharashtra,0.0,6217.72,6217.72
700074,101599,2024-01-28 15:13:17,Processing,Mobile App,Indore,Madhya Pradesh,0.0,46430.1,46430.1
700075,100968,2025-08-01 16:22:19,Delivered,Mobile App,Bengaluru,Karnataka,0.0,47177.91,47177.91
700076,102412,2025-08-14 14:15:50,Shipped,Mobile App,Indore,Madhya Pradesh,0.0,2401.53,2401.53
700077,100032,2024-09-12 13:04:56,Delivered,Mobile App,Pune,Maharashtra,0.0,926.36,926.36
700078,100454,2023-10-10 14:28:11,Shipped,Website,Bengaluru,Karnataka,0.0,5935.9,5935.9
700079,102412,2025-02-16 12:06:15,Delivered,Website,Pune,Maharashtra,0.0,92609.07,92609.07
700080,101445,2025-12-27 18:34:19,Delivered,Mobile App,Chennai,Tamil Nadu,0.0,2139.26,2139.26
700081,101168,2025-01-22 21:34:42,Returned,Website,Chandigarh,Chandigarh,0.0,126036.02,126036.02
700082,102412,2023-03-03 14:11:02,Delivered,Mobile Web,Chandigarh,Chandigarh,0.0,210836.84,210836.84
700083,101370,2023-01-29 20:04:56,Delivered,Mobile App,Faridabad,Haryana,0.0,142308.39,142308.39
700084,100590,2024-03-09 17:46:49,Delivered,Website,Indore,Madhya Pradesh,0.0,72020.91,72020.91
700085,102421,2023-10-21 09:15:34,Processing,Mobile App,Coimbatore,Tamil Nadu,0.0,238371.36,238371.36
700086,101764,2025-08-18 18:41:44,Delivered,Website,Bhopal,Madhya Pradesh,0.0,78012.19,78012.19
700087,102573,2025-09-23 19:38:00,Cancelled,Mobile App,Nagpur,Maharashtra,0.0,205281.12,205281.12
700088,102295,2023-12-22 19:19:41,Cancelled,Mobile App,Bhopal,Madhya Pradesh,0.0,158310.37,158310.37
700089,100958,2024-03-17 23:02:01,Delivered,Website,Patna,Bihar,0.0,75748.42,75748.42
700090,102467,2023-11-18 18:45:06,Delivered,Mobile App,Delhi,Delhi,0.0,8823.83,8823.83
700091,101265,2025-10-27 23:29:07,Delivered,Mobile Web,Indore,Madhya Pradesh,0.0,2841.55,2841.55
700092,102262,2024-10-14 22:55:50,Returned,Mobile App,Mumbai,Maharashtra,0.0,1852.72,1852.72
700093,100867,2025-02-28 18:53:38,Delivered,Mobile App,Surat,Gujarat,0.0,6167.49,6167.49
700094,102083,2024-07-15 14:00:33,Processing,Mobile App,Patna,Bihar,0.0,127545.1,127545.1
700095,100441,2025-01-29 21:49:37,Delivered,Mobile Web,Bengaluru,Karnataka,0.0,12339.04,12339.04
700096,101859,2024-06-03 21:51:41,Delivered,Website,Lucknow,Uttar Pradesh,0.0,13272.46,13272.46
700097,100696,2024-04-07 13:59:23,Delivered,Mobile Web,Indore,Madhya Pradesh,0.0,40878.6,40878.6
700098,102968,2025-02-01 16:25:22,Delivered,Website,Surat,Gujarat,0.0,98019.35,98019.35
700099,101594,2024-12-22 22:07:38,Delivered,Mobile App,Chennai,Tamil Nadu,0.0,5889.58,5889.58
700100,100279,2024-01-30 16:15:28,Delivered,Mobile App,Nagpur,Maharashtra,0.0,48470.3,48470.3
700101,101939,2023-09-02 20:44:48,Delivered,Mobile App,Kochi,Kerala,0.0,1680.56,1680.56
700102,101281,2024-05-15 22:54:27,Delivered,Mobile Web,Pune,Maharashtra,0.0,2764.72,2764.72
700103,102377,2024-07-15 16:08:47,Processing,Website,Faridabad,Haryana,0.0,17671.15,17671.15
700104,102881,2025-01-27 16:24:59,Processing,Mobile Web,Nagpur,Maharashtra,0.0,137385.82,137385.82
700105,101739,2025-10-30 23:23:23,Delivered,Mobile App,Bhopal,Madhya Pradesh,0.0,155662.63,155662.63
700106,100462,2023-03-04 21:34:54,Returned,Website,Kochi,Kerala,0.0,109220.57,109220.57
700107,100956,2023-11-30 15:02:10,Returned,Website,Ahmedabad,Gujarat,0.0,1296.9,1296.9
700108,101494,2023-10-19 23:45:48,Returned,Website,Lucknow,Uttar Pradesh,0.0,10574.9,10574.9
700109,102436,2024-10-14 23:04:19,Delivered,Mobile App,Lucknow,Uttar Pradesh,0.0,100801.18,100801.18
700110,102086,2024-08-04 23:56:24,Shipped,Mobile App,Chennai,Tamil Nadu,0.0,5935.9,5935.9
700111,100423,2025-05-22 18:13:46,Delivered,Mobile App,Kolkata,West Bengal,0.0,5099.4,509940.0
700112,101679,2023-11-28 15:07:04,Delivered,Mobile App,Nagpur,Maharashtra,0.0,80383.48,80383.48
700113,100596,2024-12-25 16:19:11,Returned,Website,Hyderabad,Telangana,0.0,3108.86,3108.86
700114,102866,2025-10-16 18:14:07,Delivered,Mobile App,Guwahati,Assam,0.0,1852.72,1852.72
700115,102306,2025-10-28 13:26:13,Shipped,Mobile App,Indore,Madhya Pradesh,0.0,6993.39,6993.39
700116,102573,2025-11-26 23:24:20,Delivered,Mobile App,Faridabad,Haryana,0.0,1724.08,1724.08
700117,102736,2025-07-10 16:37:32,Delivered,Mobile App,Bhopal,Madhya Pradesh,0.0,103067.96,103067.96
700118,101906,2025-10-26 23:35:35,Delivered,Mobile App,Pune,Maharashtra,0.0,14264.92,1426492.0
700119,100743,2023-11-15 22:14:31,Shipped,Website,Guwahati,Assam,0.0,29582.83,29582.83
700120,102412,2023-10-22 23:46:14,Delivered,Mobile Web,Bengaluru,Karnataka,0.0,122102.69,122102.69
700121,101729,2023-01-13 19:11:47,Delivered,Mobile App,Ahmedabad,Gujarat,0.0,4464.64,4464.64
700122,102412,2025-05-01 17:38:07,Delivered,Mobile App,Chennai,Tamil Nadu,0.0,833.72,833.72
700123,102344,2025-11-10 17:21:38,Returned,Website,Pune,Maharashtra,43.01,463.18,506.19
700124,101482,2023-10-14 22:24:47,Delivered,Mobile Web,Ahmedabad,Gujarat,0.0,1259.2,1259.2
700125,100326,2025-02-04 21:28:10,Delivered,Website,Ahmedabad,Gujarat,0.0,128148.73,128148.73
700126,101764,2025-06-09 12:07:33,Delivered,Mobile App,Kolkata,West Bengal,0.0,7243.12,7243.12
700127,102126,2025-11-05 11:28:44,Delivered,Mobile App,Coimbatore,Tamil Nadu,0.0,11939.74,11939.74
700128,102279,2025-02-17 20:41:03,Delivered,Mobile Web,Bhopal,Madhya Pradesh,0.0,3511.95,3511.95
700129,100649,2025-12-09 19:39:46,Returned,Mobile App,Kochi,Kerala,0.0,7557.85,7557.85
700130,100287,2024-04-14 23:30:57,Processing,Mobile App,Lucknow,Uttar Pradesh,0.0,4600.68,4600.68
700131,101360,2024-04-22 21:38:03,Cancelled,Mobile App,Surat,Gujarat,0.0,2439.2,2439.2
700132,100123,2024-11-06 20:06:31,Delivered,Website,Hyderabad,Telangana,0.0,198247.36,198247.36
700133,101267,2024-05-31 15:26:50,Delivered,Mobile App,Surat,Gujarat,0.0,45850.17,45850.17
700134,102412,2023-01-03 23:22:33,Cancelled,Website,Hyderabad,Telangana,0.0,3466.21,3466.21
700135,101312,2025-05-24 21:06:57,Delivered,Mobile App,Mumbai,Maharashtra,0.0,1214.58,1214.58
700136,101939,2025-06-15 23:40:51,Delivered,Mobile Web,Surat,Gujarat,0.0,47314.36,47314.36
700137,102289,2025-06-09 16:26:12,Delivered,Website,Hyderabad,Telangana,37.41,416.86,454.27
700138,100254,2024-04-15 17:53:22,Delivered,Mobile App,Nagpur,Maharashtra,0.0,156086.92,156086.92
700139,101303,2024-10-25 14:48:26,Delivered,Website,Hyderabad,Telangana,0.0,13232.9,13232.9
700140,100424,2024-05-05 19:26:13,Shipped,Mobile App,Bhopal,Madhya Pradesh,0.0,3917.47,3917.47
700141,100667,2023-01-27 16:05:36,Delivered,Website,Kolkata,West Bengal,0.0,3643.68,3643.68
700142,102932,2024-11-17 16:37:41,Returned,Mobile App,Coimbatore,Tamil Nadu,0.0,1389.54,1389.54
700143,102714,2023-07-29 23:33:10,Delivered,Website,Delhi,Delhi,0.0,16095.74,16095.74
700144,101265,2023-05-18 16:52:00,Cancelled,Mobile App,Bhopal,Madhya Pradesh,0.0,122524.28,122524.28
700145,100151,2025-06-20 13:22:12,Delivered,Website,Chennai,Tamil Nadu,0.0,926.36,926.36
700146,100502,2023-01-19 15:44:12,Delivered,Mobile Web,Indore,Madhya Pradesh,0.0,5378.64,5378.64
700147,100151,2025-11-26 23:15:04,Delivered,Mobile Web,Bhopal,Madhya Pradesh,0.0,57878.09,57878.09
700148,101385,2024-10-21 16:17:37,Cancelled,Mobile App,Delhi,Delhi,0.0,137466.34,137466.34
700149,101868,2025-12-21 22:02:19,Delivered,Website,Guwahati,Assam,0.0,206725.63,206725.63
700150,102784,2023-04-13 18:15:30,Delivered,Website,Chennai,Tamil Nadu,0.0,39091.46,39091.46
700151,101043,2024-12-15 20:23:33,Cancelled,Mobile App,Surat,Gujarat,0.0,3284.78,3284.78
700152,102076,2024-04-21 23:26:57,Processing,Mobile Web,Pune,Maharashtra,0.0,19338.81,19338.81
700153,102042,2025-09-22 19:35:48,Delivered,Mobile Web,Hyderabad,Telangana,0.0,9100.55,9100.55
700154,102813,2024-05-07 14:46:13,Delivered,Website,Guwahati,Assam,0.0,6939.94,6939.94
700155,101325,2023-12-23 14:09:58,Delivered,Mobile Web,Surat,Gujarat,0.0,163040.63,163040.63
700156,100917,2025-10-04 20:06:28,Delivered,Website,Jaipur,Rajasthan,0.0,900.94,900.94
700157,101764,2024-05-21 17:47:11,Returned,Website,Surat,Gujarat,0.0,56382.81,56382.81
700158,101019,2023-01-28 20:56:04,Cancelled,Mobile App,Jaipur,Rajasthan,0.0,5067.92,5067.92
700159,102568,2024-06-10 16:57:11,Returned,Website,Hyderabad,Telangana,0.0,87956.14,87956.14
700160,102374,2025-02-26 20:45:12,Delivered,Mobile App,Faridabad,Haryana,0.0,1320.06,1320.06
700161,102108,2023-12-16 18:34:25,Delivered,Website,Pune,Maharashtra,0.0,131924.38,131924.38
700162,101764,2024-08-06 12:16:06,Delivered,Mobile App,Kolkata,West Bengal,0.0,121695.65,121695.65
700163,101118,2023-04-11 14:20:14,Delivered,Mobile App,Hyderabad,Telangana,0.0,6150.2,6150.2
700164,102158,2024-12-20 17:03:38,Delivered,Mobile App,Pune,Maharashtra,0.0,27433.64,27433.64
700165,101638,2025-06-21 16:49:51,Cancelled,Mobile App,Bhopal,Madhya Pradesh,0.0,2738.32,2738.32
700166,101138,2024-07-12 16:47:21,Delivered,Mobile App,Guwahati,Assam,0.0,4771.03,4771.03
700167,100646,2024-07-22 19:44:42,Returned,Mobile App,Lucknow,Uttar Pradesh,0.0,2991.11,2991.11
700168,102174,2023-05-29 14:34:29,Delivered,Mobile App,Ahmedabad,Gujarat,0.0,138063.96,138063.96
700169,101494,2023-10-25 17:02:35,Cancelled,Mobile App,Guwahati,Assam,0.0,10678.24,10678.24
700170,102101,2023-09-11 23:11:44,Returned,Mobile App,Hyderabad,Telangana,0.0,4172.24,4172.24
700171,101790,2024-10-03 21:57:12,Shipped,Mobile Web,Surat,Gujarat,0.0,119672.02,119672.02
700172,102907,2024-10-29 21:05:26,Delivered,Mobile Web,Faridabad,Haryana,0.0,206438.28,206438.28
700173,100102,2025-11-15 17:13:13,Delivered,Mobile App,Guwahati,Assam,0.0,79920.3,79920.3
700174,101367,2023-05-08 18:28:01,Cancelled,Website,Bhopal,Madhya Pradesh,0.0,9837.5,9837.5
700175,101029,2024-12-29 11:42:14,Delivered,Mobile App,Lucknow,Uttar Pradesh,0.0,5982.22,5982.22
700176,100394,2024-10-27 17:11:19,Delivered,Website,Ahmedabad,Gujarat,61.52,463.18,524.7
700177,101780,2024-10-22 20:17:06,Delivered,Mobile Web,Guwahati,Assam,0.0,153764.63,153764.63
700178,100873,2025-10-11 18:46:14,Shipped,Mobile App,Delhi,Delhi,0.0,4012.93,4012.93
700179,101984,2023-10-27 21:58:15,Processing,Mobile App,Chennai,Tamil Nadu,0.0,1724.08,1724.08
700180,100123,2023-03-12 23:19:57,Delivered,Mobile App,Mumbai,Maharashtra,0.0,170545.27,170545.27
700181,101764,2025-03-20 17:41:50,Delivered,Mobile App,Lucknow,Uttar Pradesh,0.0,33573.91,33573.91
700182,100197,2024-04-15 17:48:35,Returned,Website,Jaipur,Rajasthan,0.0,396971.89,396971.89
700183,100758,2023-01-29 23:01:10,Delivered,Website,Jaipur,Rajasthan,0.0,9616.16,9616.16
700184,101523,2023-12-12 23:23:00,Delivered,Website,Guwahati,Assam,0.0,6489.76,6489.76
700185,102788,2024-02-22 23:26:22,Delivered,Website,Bengaluru,Karnataka,0.0,833.72,833.72
700186,101976,2025-01-17 17:27:42,Delivered,Website,Bengaluru,Karnataka,0.0,258768.14,258768.14
700187,102988,2023-10-05 14:17:00,Delivered,Mobile Web,Guwahati,Assam,0.0,4271.27,4271.27
700188,101532,2024-07-12 19:19:31,Cancelled,Mobile App,Patna,Bihar,0.0,3917.47,3917.47
700189,101939,2024-10-03 17:45:04,Shipped,Mobile App,Kolkata,West Bengal,0.0,147810.07,147810.07
700190,100748,2024-09-06 15:53:40,Delivered,Mobile App,Ahmedabad,Gujarat,0.0,55687.27,55687.27
700191,101015,2025-12-13 15:05:43,Shipped,Website,Guwahati,Assam,0.0,42836.74,42836.74
700192,101224,2023-03-21 19:11:24,Delivered,Mobile App,Bengaluru,Karnataka,0.0,43257.36,43257.36
700193,102412,2025-11-17 22:04:01,Delivered,Mobile App,Kolkata,West Bengal,0.0,6402.99,6402.99
700194,101925,2024-12-13 21:20:39,Delivered,Website,Jaipur,Rajasthan,0.0,7063.5,7063.5
700195,101764,2025-08-05 17:11:02,Delivered,Mobile App,Chennai,Tamil Nadu,0.0,71950.37,71950.37
700196,100254,2024-08-05 15:24:27,Returned,Website,Coimbatore,Tamil Nadu,0.0,94885.15,94885.15
700197,102739,2024-08-29 15:38:11,Returned,Mobile App,Chennai,Tamil Nadu,0.0,1389.54,1389.54
700198,101265,2025-10-14 23:14:14,Delivered,Mobile Web,Chandigarh,Chandigarh,0.0,6399.01,6399.01
700199,100590,2025-10-22 19:05:53,Delivered,Mobile App,Bengaluru,Karnataka,0.0,142484.58,142484.58
700200,101939,2023-11-22 05:48:12,Delivered,Mobile Web,Guwahati,Assam,0.0,6464.39,6464.39
700201,101332,2023-10-23 14:50:14,Cancelled,Website,Lucknow,Uttar Pradesh,0.0,97534.14,97534.14
700202,101555,2024-10-11 14:54:09,Returned,Mobile App,Lucknow,Uttar Pradesh,0.0,21461.44,2146144.0
700203,101939,2025-10-24 17:11:32,Delivered,Mobile App,Kolkata,West Bengal,0.0,880.04,880.04
700204,102122,2024-03-12 17:51:19,Delivered,Mobile App,Kochi,Kerala,0.0,10853.12,10853.12
700205,102151,2025-02-23 17:15:16,Delivered,Mobile App,Kolkata,West Bengal,0.0,648.45,648.45
700206,102083,2025-05-03 21:47:33,Delivered,Mobile Web,Faridabad,Haryana,0.0,52797.62,52797.62
700207,101161,2025-07-17 23:46:02,Processing,Website,Kochi,Kerala,0.0,1094.53,1094.53
700208,100733,2024-11-19 18:51:18,Processing,Mobile App,Chennai,Tamil Nadu,0.0,7543.82,7543.82
700209,102034,2024-06-27 14:46:35,Cancelled,Mobile App,Chennai,Tamil Nadu,0.0,231578.13,231578.13
700210,102227,2025-12-05 19:08:35,Delivered,Mobile App,Surat,Gujarat,0.0,35964.13,35964.13
700211,102074,2025-01-10 21:28:17,Delivered,Mobile App,Kolkata,West Bengal,0.0,4432.76,4432.76
700212,101160,2025-05-21 21:36:55,Delivered,Mobile App,Patna,Bihar,0.0,318386.46,318386.46
700213,100112,2024-04-15 14:48:54,Shipped,Mobile App,Chandigarh,Chandigarh,0.0,10324.26,10324.26
700214,102807,2025-03-17 21:59:33,Cancelled,Mobile App,Guwahati,Assam,0.0,10783.65,10783.65
700215,101453,2023-12-21 19:56:58,Delivered,Website,Bhopal,Madhya Pradesh,0.0,8804.8,8804.8
700216,101391,2023-12-02 23:15:36,Delivered,Website,Indore,Madhya Pradesh,0.0,15545.91,15545.91
700217,102812,2025-05-09 23:27:18,Delivered,Mobile App,Surat,Gujarat,0.0,35509.59,35509.59
700218,100627,2024-10-25 09:53:55,Delivered,Mobile App,Bhopal,Madhya Pradesh,0.0,1852.72,1852.72
700219,101981,2025-04-03 17:07:51,Delivered,Mobile App,Chandigarh,Chandigarh,0.0,189514.92,189514.92
700220,101524,2023-12-31 13:51:37,Returned,Mobile App,Surat,Gujarat,0.0,3978.11,3978.11
700221,101764,2024-12-28 19:35:32,Cancelled,Mobile App,Nagpur,Maharashtra,0.0,6946.97,6946.97
700222,100739,2024-08-16 17:18:47,Delivered,Mobile Web,Guwahati,Assam,0.0,3273.2,3273.2
700223,100090,2024-12-27 17:33:27,Cancelled,Mobile App,Indore,Madhya Pradesh,0.0,5013.45,5013.45
700224,102997,2024-01-27 11:37:16,Delivered,Mobile App,Nagpur,Maharashtra,0.0,11458.85,11458.85
700225,100583,2025-05-09 18:29:44,Cancelled,Mobile Web,Mumbai,Maharashtra,0.0,2313.42,2313.42
700226,101482,2025-08-12 23:27:37,Delivered,Website,Delhi,Delhi,0.0,47321.83,47321.83
700227,102988,2023-12-23 15:28:58,Delivered,Mobile App,Bengaluru,Karnataka,0.0,6445.4,6445.4
700228,102573,2024-02-09 23:13:51,Shipped,Mobile Web,Kochi,Kerala,0.0,1387.11,1387.11
700229,101502,2025-03-07 22:45:59,Returned,Mobile App,Nagpur,Maharashtra,0.0,1283.36,1283.36
700230,101138,2025-04-18 23:53:22,Returned,Website,Indore,Madhya Pradesh,0.0,13233.15,13233.15
700231,100252,2025-04-28 19:41:21,Delivered,Mobile Web,Bengaluru,Karnataka,0.0,30587.07,30587.07
700232,102104,2025-04-02 20:01:43,Delivered,Mobile App,Hyderabad,Telangana,0.0,101912.81,101912.81
700233,101764,2024-06-13 13:42:18,Delivered,Mobile App,Jaipur,Rajasthan,0.0,3872.82,3872.82
700234,100386,2024-06-16 20:11:13,Delivered,Mobile App,Lucknow,Uttar Pradesh,0.0,80493.8,80493.8
700235,102877,2023-12-17 20:23:39,Returned,Mobile Web,Indore,Madhya Pradesh,0.0,56129.48,56129.48
700236,102868,2023-09-15 11:56:59,Delivered,Mobile App,Jaipur,Rajasthan,0.0,6295.68,6295.68
700237,100557,2025-04-14 19:41:21,Delivered,Mobile App,Indore,Madhya Pradesh,0.0,225443.68,225443.68
700238,100059,2023-06-06 17:50:14,Delivered,Mobile App,Bhopal,Madhya Pradesh,0.0,52523.49,52523.49
700239,102034,2025-11-10 19:57:11,Shipped,Mobile App,Chandigarh,Chandigarh,0.0,106919.72,106919.72
700240,100998,2025-09-03 16:44:34,Returned,Website,Coimbatore,Tamil Nadu,0.0,113029.54,113029.54
700241,100324,2025-10-04 22:28:07,Delivered,Mobile App,Lucknow,Uttar Pradesh,0.0,8764.9,8764.9
700242,100033,2025-10-27 23:54:08,Cancelled,Website,Surat,Gujarat,0.0,44347.9,44347.9
700243,102735,2024-07-06 20:54:15,Processing,Website,Chandigarh,Chandigarh,0.0,1389.54,1389.54
700244,102986,2025-09-26 12:31:27,Delivered,Mobile App,Chennai,Tamil Nadu,0.0,115108.75,115108.75
700245,100009,2023-09-17 17:19:32,Delivered,Mobile App,Bengaluru,Karnataka,0.0,153990.77,153990.77
700246,102083,2023-02-04 14:15:33,Delivered,Mobile Web,Lucknow,Uttar Pradesh,0.0,7995.15,7995.15
700247,102786,2025-07-24 23:48:47,Delivered,Website,Indore,Madhya Pradesh,71.97,463.18,535.15
700248,100418,2023-05-11 21:42:24,Delivered,Mobile App,Kolkata,West Bengal,0.0,180960.72,180960.72
